Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-24APR26-1200-C,-,-,,1.53096,-0.69472,0.79186,0.00016,0.94784,-,-,-,-,785.74,-,-,-
ETH_USDC-24APR26-1200-P,-,-,,-0.16979,-0.69472,0.79186,0.00016,-0.05216,-,100,88.25,15,16.89,18.6,92.82,100
ETH_USDC-24APR26-1300-C,-,-,,1.60081,-0.86829,1.04173,0.00022,0.92585,-,-,-,-,693.45,-,-,-
ETH_USDC-24APR26-1300-P,10,11.1,,-0.24167,-0.86829,1.04173,0.00022,-0.07415,22.8,75,84.38,22.4,24.22,25.2,87.09,64.6
ETH_USDC-24APR26-1400-C,-,-,,1.64776,-1.0547,1.33155,0.00029,0.89696,-,-,-,-,603.69,-,-,-
ETH_USDC-24APR26-1400-P,33.8,33.8,,-0.33646,-1.0547,1.33155,0.00029,-0.10304,27.4,75,80.89,32.8,34.1,36.2,83.43,75
ETH_USDC-24APR26-1500-C,-,-,,1.66346,-1.25717,1.66128,0.00039,0.85888,-,-,-,-,517.84,-,-,-
ETH_USDC-24APR26-1500-P,-,2,,-0.46248,-1.25717,1.66128,0.00039,-0.14112,43.6,75,78.15,47.8,47.88,49.6,79.23,93
ETH_USDC-24APR26-1600-C,-,-,,1.64324,-1.46165,2.01119,0.00049,0.8105,-,-,-,-,437.03,-,-,-
ETH_USDC-24APR26-1600-P,-,1.6,,-0.62443,-1.46165,2.01119,0.00049,-0.1895,70,75,74.73,66,66.7,69,76.22,150
ETH_USDC-24APR26-1700-C,-,-,,1.58417,-1.65124,2.35158,0.00059,0.75147,-,50,-,0.2,362.6,-,-,-
ETH_USDC-24APR26-1700-P,-,1.2,,-0.82524,-1.65124,2.35158,0.00059,-0.24853,125,75,72.14,91,91.9,94,73.41,51.6
ETH_USDC-24APR26-1750-C,-,-,,1.54044,-1.73357,2.50632,0.00064,0.71828,-,36,-,0.2,328.12,-,-,-
ETH_USDC-24APR26-1750-P,-,4,,-0.93982,-1.73357,2.50632,0.00064,-0.28172,145,75,71.33,107,107.24,110,72.52,150
ETH_USDC-24APR26-1800-C,-,-,,1.48778,-1.80501,2.64443,0.00068,0.68293,-,13.5,-,1,295.71,-,-,-
ETH_USDC-24APR26-1800-P,5,5,,-1.06335,-1.80501,2.64443,0.00068,-0.31707,127,75,69.84,123,124.64,127,71.36,75
ETH_USDC-24APR26-1850-C,-,-,,1.42695,-1.86432,2.76142,0.00072,0.64582,-,12,-,0.6,265.56,-,-,-
ETH_USDC-24APR26-1850-P,18.5,24,,-1.19504,-1.86432,2.76142,0.00072,-0.35418,148,75,69.2,143,144.31,147,70.65,150
ETH_USDC-24APR26-1900-C,-,-,,1.3595,-1.90887,2.85339,0.00075,0.60747,-,75,-,0.8,237.65,-,-,-
ETH_USDC-24APR26-1900-P,-,1.2,,-1.33336,-1.90887,2.85339,0.00075,-0.39253,169,75,68.59,165,166.22,168,69.64,75
ETH_USDC-24APR26-1950-C,-,-,,1.28719,-1.93451,2.9179,0.00077,0.56839,-,75,67.71,210,211.7,215,69.43,75
