Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-26JUN26-500-C,-,-,,1.53807,-0.0662,0.14358,0.00001,0.9956,-,-,-,-,1471.53,-,-,-
ETH_USDC-26JUN26-500-P,-,-,,-0.03359,-0.0662,0.14358,0.00001,-0.0044,-,25.1,92.3,0.6,1.94,113,259.22,8
ETH_USDC-26JUN26-1000-C,-,-,,2.77371,-0.41231,1.10555,0.0001,0.95224,-,-,-,-,996.61,-,-,-
ETH_USDC-26JUN26-1000-P,100,110,,-0.36961,-0.41231,1.10555,0.0001,-0.04776,22.4,75,84.23,21.4,22.7,23.8,86.42,75
ETH_USDC-26JUN26-1200-C,-,-,,3.08229,-0.61752,1.78282,0.00018,0.91152,-,-,-,-,819.27,-,-,-
ETH_USDC-26JUN26-1200-P,-,-,,-0.6897,-0.61752,1.78282,0.00018,-0.08848,-,100,78.49,42.2,43.63,45.2,80.18,75
ETH_USDC-26JUN26-1400-C,-,-,,3.22458,-0.84125,2.58196,0.00028,0.8509,-,-,-,-,655.27,-,-,-
ETH_USDC-26JUN26-1400-P,-,6.1,,-1.17607,-0.84125,2.58196,0.00028,-0.1491,80,88.8,74.19,77,77.9,79,74.97,75
ETH_USDC-26JUN26-1500-C,-,1.4,,3.22573,-0.94967,2.99093,0.00033,0.81268,565,0.1,24.52,485,579.78,-,-,-
ETH_USDC-26JUN26-1500-P,-,131.7,,-1.48925,-0.94967,2.99093,0.00033,-0.18732,90,41,72.43,101,101.55,103,73.09,75
ETH_USDC-26JUN26-1600-C,-,-,,3.17948,-1.04969,3.38039,0.00038,0.76948,-,-,-,-,509.48,-,-,-
ETH_USDC-26JUN26-1600-P,-,6.7,,-1.84984,-1.04969,3.38039,0.00038,-0.23052,115,75,70.26,128,130.38,132,71.45,75
ETH_USDC-26JUN26-1700-C,-,-,,3.08926,-1.13617,3.72923,0.00043,0.72208,-,22.5,-,0.6,444.77,-,-,-
ETH_USDC-26JUN26-1700-P,34.5,152.6,,-2.25439,-1.13617,3.72923,0.00043,-0.27792,165,26.5,69.36,164,164.81,167,70.17,75
ETH_USDC-26JUN26-1800-C,-,-,,2.95989,-1.20597,4.01926,0.00047,0.67149,-,70.8,-,0.4,386.15,-,-,-
ETH_USDC-26JUN26-1800-P,2,28.2,,-2.69809,-1.20597,4.01926,0.00047,-0.32851,188,113.9,67.89,203,205.33,207,68.88,101.2
ETH_USDC-26JUN26-1900-C,0.1,2.9,,2.79974,-1.25572,4.23668,0.0005,0.61905,380,75,-,0.4,333.6,-,-,-
ETH_USDC-26JUN26-1900-P,-,55.6,,-3.17257,-1.25572,4.23668,0.0005,-0.38095,255,75,66.4,247,251.91,253,67.82,75
ETH_USDC-26JUN26-2000-C,-,81,,2.61718,-1.28509,4.37456,0.00052,0.56615,291,21.8,66.46,286,287.21,290,67.38,75
ETH_USDC-26JUN26-2000-P,0.3,51.5,,-3.66947,-1.28509,4.37456,0.00052,-0.43385,291,75,65.58,299,304.66,305,66.95,75
ETH_USDC-26JUN26-2100-C,3,40.2,,2.42149,-1.29474,4.43288,0.00054,0.51417,254,23.9,66.05,245,246.77,249,66.95,75
ETH_USDC-26JUN26-2100-P,-,74.5,,-4.17949,-1.29474,4.43288,0.00054,-0.48583,390,75,64.73,356,363.35,363,66.31,75
ETH_USDC-26JUN26-2200-C,-,148.6,,2.22094,-1.28445,4.41759,0.00054,0.46399,200,26.5,65.9,210,211.41,215,67.04,75
ETH_USDC-26JUN26-2200-P,-,30,,-4.69436,-1.28445,4.41759,0.00054,-0.53601,499,75,64.12,419,427.13,427,65.94,75
ETH_USDC-26JUN26-2300-C,0.3,5.5,,2.02192,-1.25819,4.33829,0.00053,0.41656,218,29.4,65.66,179,180.96,184,66.81,75
ETH_USDC-26JUN26-2300-P,-,2.2,,-5.20772,-1.25819,4.33829,0.00053,-0.58344,495,25.4,63.38,486,495.82,497,65.93,100.4
ETH_USDC-26JUN26-2400-C,-,34.9,,1.82785,-1.21963,4.20469,0.00051,0.3723,140,14.7,65.96,154,155.18,159,67.15,75
ETH_USDC-26JUN26-2400-P,-,161.4,,-5.71351,-1.22057,4.20794,0.00051,-0.62729,567,-,-,-,569.17,-,-,-
ETH_USDC-26JUN26-2500-C,-,22.2,,1.64888,-1.17171,4.03756,0.00049,0.33226,150,18.1,65.76,131,132.95,134,66.5,75
ETH_USDC-26JUN26-2500-P,-,95.2,,-6.20943,-1.17171,4.03756,0.00049,-0.66774,612,-,-,-,646.08,-,-,-
ETH_USDC-26JUN26-2600-C,0.2,31.1,,1.48023,-1.11636,3.83991,0.00047,0.2956,139,75,65.85,112,114.1,118,67.41,75
ETH_USDC-26JUN26-2600-P,-,1.7,,-6.69241,-1.11636,3.83991,0.00047,-0.7044,701,-,-,-,726.36,-,-,-
ETH_USDC-26JUN26-2700-C,-,20.1,,1.32636,-1.05797,3.62676,0.00044,0.26285,132,196.3,66.02,96,98.26,102,67.67,75
ETH_USDC-26JUN26-2700-P,-,-,,-7.16061,-1.05797,3.62676,0.00044,-0.73715,-,-,-,-,809.66,-,-,-
ETH_USDC-26JUN26-2800-C,5,130.2,,1.18674,-0.99748,3.40557,0.00041,0.23361,100,96.4,66.4,83,84.83,85,66.99,22.1
ETH_USDC-26JUN26-2800-P,-,-,,-7.61456,-0.99748,3.40557,0.00041,-0.76639,-,-,-,-,895.36,-,-,-
ETH_USDC-26JUN26-3000-C,-,121.4,,0.94942,-0.87779,2.96647,0.00035,0.18486,62,90.9,67.03,62,63.86,64,67.71,59.5
ETH_USDC-26JUN26-3000-P,-,0.3,,-8.48055,-0.87779,2.96647,0.00035,-0.81514,1005,-,-,-,1072.67,-,-,-
ETH_USDC-26JUN26-3200-C,-,12.9,,0.7625,-0.76726,2.5604,0.0003,0.14724,55,75,67.97,47.4,48.88,52,69.76,75
ETH_USDC-26JUN26-3200-P,-,-,,-9.29613,-0.76726,2.5604,0.0003,-0.85276,-,-,-,-,1255.96,-,-,-
ETH_USDC-26JUN26-3400-C,-,12.3,,0.61616,-0.66856,2.20075,0.00026,0.11821,31,75,69.06,37,38,38.6,69.79,99.4
ETH_USDC-26JUN26-3400-P,-,-,,-10.07114,-0.66856,2.20075,0.00026,-0.88179,-,-,-,-,1443.35,-,-,-
ETH_USDC-26JUN26-3500-C,-,28,,0.55527,-0.62373,2.03901,0.00023,0.10624,28.6,75,69.58,32.8,33.67,36.4,71.33,75
ETH_USDC-26JUN26-3500-P,-,-,,-10.44636,-0.62373,2.03901,0.00023,-0.89376,-,-,-,-,1538.16,-,-,-
ETH_USDC-26JUN26-3600-C,2.2,83.7,,0.50243,-0.58341,1.89255,0.00022,0.09591,28.2,75,70,29,30.04,31.8,71.48,75
ETH_USDC-26JUN26-3600-P,-,-,,-10.81353,-0.58341,1.89255,0.00022,-0.90409,-,-,-,-,1633.66,-,-,-
ETH_USDC-26JUN26-3800-C,-,12.7,,0.41248,-0.50901,1.62815,0.00018,0.07842,23.6,75,71.06,23.2,24.02,24.6,71.93,79.5
ETH_USDC-26JUN26-3800-P,-,-,,-11.53215,-0.50901,1.62815,0.00018,-0.92158,-,-,-,-,1825.92,-,-,-
ETH_USDC-26JUN26-4000-C,0.2,16.3,,0.34405,-0.44906,1.41355,0.00016,0.06522,22.8,75,71.82,18.4,19.67,22,74.34,75
ETH_USDC-26JUN26-4000-P,-,-,,-12.22924,-0.44906,1.41355,0.00016,-0.93478,-,-,-,-,2019.84,-,-,-
ETH_USDC-26JUN26-4200-C,-,30.5,,0.28795,-0.3953,1.22695,0.00013,0.05444,18.8,100,72.62,14.8,16.18,23.2,78.95,75
ETH_USDC-26JUN26-4200-P,-,-,,-12.914,-0.3953,1.22695,0.00013,-0.94556,-,-,-,-,2214.62,-,-,-
ETH_USDC-26JUN26-4400-C,-,27.9,,0.24541,-0.35317,1.07879,0.00012,0.04633,12.6,75,70.09,9,13.64,17,77.91,100
ETH_USDC-26JUN26-4400-P,-,-,,-13.5852,-0.35317,1.07879,0.00012,-0.95367,-,-,-,-,2410.35,-,-,-
ETH_USDC-26JUN26-4500-C,-,32.8,,0.22599,-0.33232,1.0086,0.00011,0.04262,19.4,75,70.37,8,12.48,15.8,78.55,100
ETH_USDC-26JUN26-4500-P,-,-,,-13.91896,-0.33232,1.0086,0.00011,-0.95738,-,-,-,-,2508.32,-,-,-
ETH_USDC-26JUN26-4600-C,-,1,,0.20891,-0.3137,0.94567,0.0001,0.03936,18.2,75,70.17,6.8,11.47,17.6,81.67,75
ETH_USDC-26JUN26-4600-P,-,-,,-14.25038,-0.3137,0.94567,0.0001,-0.96064,-,-,-,-,2606.45,-,-,-
