Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH_USDC-27MAR26-500-C,-,-,,0.32416,-0.04198,0.0111,-,0.99937,-,1,-,200,1465.69,-,-,-
ETH_USDC-27MAR26-500-P,-,40.1,,-0.00092,-0.04198,0.0111,-,-0.00063,0.6,-,-,-,0.17,0.2,181.73,250
ETH_USDC-27MAR26-600-C,-,-,,0.38903,-0.04279,0.01297,-,0.99925,-,-,-,-,1365.83,-,-,-
ETH_USDC-27MAR26-600-P,26,20,,-0.00108,-0.04279,0.01297,-,-0.00075,0.2,-,-,-,0.18,0.2,158.18,200
ETH_USDC-27MAR26-700-C,-,-,,0.4533,-0.06379,0.02117,0.00001,0.99872,-,-,-,-,1266.08,-,-,-
ETH_USDC-27MAR26-700-P,9,9,,-0.00182,-0.06379,0.02117,0.00001,-0.00128,0.4,200.1,138.36,0.2,0.29,0.4,147.73,200
ETH_USDC-27MAR26-800-C,-,-,,0.51642,-0.11479,0.04047,0.00001,0.99739,-,-,-,-,1166.51,-,-,-
ETH_USDC-27MAR26-800-P,12,30.1,,-0.00372,-0.11479,0.04047,0.00001,-0.00261,0.4,200,129.52,0.4,0.58,0.8,139.42,200
ETH_USDC-27MAR26-900-C,-,-,,0.57725,-0.2161,0.07944,0.00002,0.99446,-,-,-,-,1067.33,-,-,-
ETH_USDC-27MAR26-900-P,6,30,,-0.00791,-0.2161,0.07944,0.00002,-0.00554,1,200,125.46,1,1.27,1.6,132.97,200
ETH_USDC-27MAR26-1000-C,-,-,,0.63604,-0.3406,0.13246,0.00004,0.99011,-,-,-,-,968.47,-,-,-
ETH_USDC-27MAR26-1000-P,-,44,,-0.01413,-0.3406,0.13246,0.00004,-0.00989,4.2,200,118.23,2,2.27,2.8,125.78,200
ETH_USDC-27MAR26-1200-C,-,-,,0.74175,-0.71225,0.31202,0.00011,0.97307,-,-,-,-,772.65,-,-,-
ETH_USDC-27MAR26-1200-P,0.5,74.7,,-0.03846,-0.71225,0.31202,0.00011,-0.02693,5.6,200,107.13,5.8,6.16,6.8,110.3,200
ETH_USDC-27MAR26-1300-C,-,-,,0.78488,-0.96983,0.45185,0.00018,0.95776,-,-,-,-,676.31,-,-,-
ETH_USDC-27MAR26-1300-P,-,98.3,,-0.06034,-0.96983,0.45185,0.00018,-0.04224,8.4,200,100.75,9.2,9.69,10.2,102.96,200
ETH_USDC-27MAR26-1400-C,-,-,,0.81863,-1.26465,0.62941,0.00026,0.93588,-,-,-,-,581.48,-,-,-
ETH_USDC-27MAR26-1400-P,-,210.9,,-0.0916,-1.26465,0.62941,0.00026,-0.06412,17.2,24.6,94.5,14.2,14.72,15.2,96.09,200
ETH_USDC-27MAR26-1500-C,-,12251,,0.83815,-1.60622,0.8537,0.00038,0.90412,1180,-,-,-,489.1,-,-,-
ETH_USDC-27MAR26-1500-P,58.3,12417.5,,-0.1371,-1.60622,0.8537,0.00038,-0.09588,22.8,81.2,88.56,21.6,22.2,22.4,89.5,75
ETH_USDC-27MAR26-1600-C,-,5250,,0.83843,-1.97581,1.12141,0.00053,0.85912,1488.6,-,-,-,400.25,-,-,-
ETH_USDC-27MAR26-1600-P,5.9,5555.5,,-0.20184,-1.97581,1.12141,0.00053,-0.14088,29.8,291.3,82.85,32.4,33.21,33.6,83.93,75
ETH_USDC-27MAR26-1700-C,-,-,,0.81269,-2.35059,1.41906,0.00072,0.79654,-,50,-,0.2,316.82,-,-,-
ETH_USDC-27MAR26-1700-P,5,547.8,,-0.2926,-2.35059,1.41906,0.00072,-0.20346,48,55.7,78.26,49.2,49.64,51,79.53,412.5
ETH_USDC-27MAR26-1750-C,-,-,,0.78805,-2.52758,1.56844,0.00081,0.7575,-,50,-,0.2,277.97,-,-,-
ETH_USDC-27MAR26-1750-P,-,-,,-0.34975,-2.52758,1.56844,0.00081,-0.2425,-,275,75.97,60,60.72,62,77.24,402.1
ETH_USDC-27MAR26-1800-C,-,770,,0.75496,-2.68851,1.70855,0.00091,0.71313,196,50,-,0.2,241.61,-,-,-
ETH_USDC-27MAR26-1800-P,555.6,1742.7,,-0.41535,-2.68851,1.70855,0.00091,-0.28687,80,29.5,73.87,74,74.29,76,75.62,393.8
ETH_USDC-27MAR26-1850-C,-,10,,0.71406,-2.82023,1.82979,0.00099,0.66403,178,22.5,-,0.6,207.96,-,-,-
ETH_USDC-27MAR26-1850-P,20.1,20.3,,-0.48875,-2.82023,1.82979,0.00099,-0.33597,95,13.9,72.77,90,90.57,92,73.86,312.5
ETH_USDC-27MAR26-1900-C,30,55,,0.66634,-2.91278,1.92332,0.00106,0.61111,235,75,-,0.8,177.28,-,-,-
ETH_USDC-27MAR26-1900-P,20.5,220.9,,-0.56898,-2.91278,1.92332,0.00106,-0.38889,113,32.4,71.37,109,109.82,111,72.41,307.4
ETH_USDC-27MAR26-1950-C,10.7,11.2,,0.61341,-2.95423,1.98199,0.00111,0.5556,138,150,69.88,147,149.51,151,71.39,75
ETH_USDC-27MAR26-1950-P,11.3,60.1,,-0.65442,-2.95423,1.98199,0.00111,-0.4444,139,303.3,70.15,131,131.99,133,71.16,75
ETH_USDC-27MAR26-2000-C,5.1,5830.8,,0.55683,-2.95517,2.00146,0.00113,0.49911,162,24.8,69.28,124,125.42,126,70.28,75
ETH_USDC-27MAR26-2000-P,2,6196.6,,-0.74351,-2.95517,2.00146,0.00113,-0.50089,119.8,75,69.05,156,157.83,159,70.55,75
ETH_USDC-27MAR26-2050-C,50,25.2,,0.49926,-2.91243,1.98143,0.00113,0.4436,106,228,69.31,103,104.76,105,69.81,75
ETH_USDC-27MAR26-2050-P,2,2.3,,-0.83359,-2.91243,1.98143,0.00113,-0.5564,150,75,68.57,185,187.1,188,70.09,75
ETH_USDC-27MAR26-2100-C,0.1,157.1,,0.44292,-2.82836,1.92577,0.0011,0.39063,103,31.8,69.01,86,87.22,87,69.53,75
ETH_USDC-27MAR26-2100-P,-,80,,-0.92244,-2.82836,1.92577,0.0011,-0.60937,312,22.5,-,0.6,219.48,-,-,-
ETH_USDC-27MAR26-2150-C,4,4,,0.38898,-2.7009,1.83985,0.00105,0.34078,70,8.2,69.01,71,72.13,72,69.55,75
ETH_USDC-27MAR26-2150-P,1,1,,-1.00889,-2.7009,1.83985,0.00105,-0.65922,210,50,-,0.2,254.32,-,-,-
ETH_USDC-27MAR26-2200-C,0.1,843.5,,0.33852,-2.54206,1.73058,0.00099,0.29484,78,41.9,68.88,58,59.37,60,70.04,295.5
ETH_USDC-27MAR26-2200-P,-,931.2,,-1.09186,-2.54206,1.73058,0.00099,-0.70516,315,1,-,180,291.49,-,-,-
ETH_USDC-27MAR26-2250-C,-,-,,0.29262,-2.36657,1.60633,0.00091,0.2536,-,48.7,69.24,47.8,48.83,49.2,70.24,75
ETH_USDC-27MAR26-2250-P,-,-,,-1.17026,-2.36657,1.60633,0.00091,-0.7464,-,50,-,0.2,330.89,-,-,-
ETH_USDC-27MAR26-2300-C,13.6,479.4,,0.25162,-2.18248,1.47433,0.00083,0.21714,52,56.7,69.7,39.4,40.17,40.6,70.65,75
ETH_USDC-27MAR26-2300-P,-,77.4,,-1.24377,-2.18248,1.47433,0.00083,-0.78286,312,0.5,-,75,372.16,-,-,-
ETH_USDC-27MAR26-2400-C,3,4170.8,,0.18418,-1.81562,1.20997,0.00067,0.15786,28.6,127.4,70.95,26.8,27.29,28,71.78,179.6
ETH_USDC-27MAR26-2400-P,-,4186.1,,-1.37623,-1.81562,1.20997,0.00067,-0.84214,397,1,-,190,459.14,599,154.51,1
